snapped_at,price,market_cap,total_volume
2023-07-04 00:00:00 UTC,1953.7811276489165,234942840998.13855,9155212793.37497
2023-07-05 00:00:00 UTC,1937.0004255391354,233226523011.07104,6067277571.219523
2023-07-06 00:00:00 UTC,1910.5052605097412,230045605241.41965,8180984490.329683
2023-07-07 00:00:00 UTC,1855.4747836363103,223411633998.65668,13544056615.640347
2023-07-08 00:00:00 UTC,1869.317187141899,224666147793.60873,8877609275.171074
2023-07-09 00:00:00 UTC,1864.8685919146383,224139520023.71573,5224435476.270515
2023-07-10 00:00:00 UTC,1866.9167424803986,224416034755.06198,2772113286.210201
2023-07-11 00:00:00 UTC,1875.2742726720535,225295266243.27637,8878301263.054636
2023-07-12 00:00:00 UTC,1875.8658719294942,225467256388.71954,5503014510.733429
2023-07-13 00:00:00 UTC,1873.5068153773982,225081147081.1057,7979716345.7745495
2023-07-14 00:00:00 UTC,2003.253616074307,240656450975.35602,12253238016.103119
2023-07-15 00:00:00 UTC,1935.9402407442033,232297518076.90158,13163947666.120016
2023-07-16 00:00:00 UTC,1931.389384157173,232081207333.19733,4430406660.749946
2023-07-17 00:00:00 UTC,1923.0359898160434,230847045457.2026,4551682234.721218
2023-07-18 00:00:00 UTC,1912.1228355695634,229772643177.76273,7684722413.234391
2023-07-19 00:00:00 UTC,1897.199112644643,227853365302.58752,9120475118.907444
2023-07-20 00:00:00 UTC,1889.2238055517662,227127167868.42926,8894957096.351507
2023-07-21 00:00:00 UTC,1891.0145054589366,227484313829.40802,11204166583.061834
2023-07-22 00:00:00 UTC,1891.4724028266849,227467577018.69775,6309767940.447504
2023-07-23 00:00:00 UTC,1858.3111958083061,223308803225.0452,5837098870.775477
2023-07-24 00:00:00 UTC,1887.8269808569783,226861079166.83176,6531824636.513696
2023-07-25 00:00:00 UTC,1850.431150587501,222318417477.21103,9438614856.624678
2023-07-26 00:00:00 UTC,1857.5965927470297,223476900309.93112,4329972807.86323
2023-07-27 00:00:00 UTC,1871.5331057115002,224855185617.9887,7307465774.976813
2023-07-28 00:00:00 UTC,1858.77702138144,223413249190.37912,6626220422.969731
2023-07-29 00:00:00 UTC,1874.6939950760675,225320465659.74567,4775263924.223373
2023-07-30 00:00:00 UTC,1880.9180765299413,226074318965.13022,2990426323.771476
2023-07-31 00:00:00 UTC,1861.8699097932104,223813641443.30435,5791342964.545562
2023-08-01 00:00:00 UTC,1857.2761957628516,223177200443.95282,6106091989.307732
2023-08-02 00:00:00 UTC,1869.7451086679923,225952018918.58215,8990773317.298777
2023-08-03 00:00:00 UTC,1838.0119518760303,220936460217.74472,8178850227.510264
2023-08-04 00:00:00 UTC,1835.7013026752861,220768212248.9121,5908647350.667135
2023-08-05 00:00:00 UTC,1828.4611937761101,219476177802.69766,6229669774.689679
2023-08-06 00:00:00 UTC,1835.0705778421902,220487019493.58868,2952349825.885361
2023-08-07 00:00:00 UTC,1826.7067792702178,219533986979.75125,2992818475.645687
2023-08-08 00:00:00 UTC,1826.9334855730522,219422824381.99362,7660232552.642202
2023-08-09 00:00:00 UTC,1856.8441445120409,223111331723.6391,7498117030.737751
2023-08-10 00:00:00 UTC,1855.8907273266504,222992437544.13272,6010104016.055266
2023-08-11 00:00:00 UTC,1850.8769886993493,222411268370.8958,3733537744.9027367
2023-08-12 00:00:00 UTC,1847.5418351143242,222019374228.76486,3694816570.962365
2023-08-13 00:00:00 UTC,1848.505238656101,222069758272.72742,2215986526.7016535
2023-08-14 00:00:00 UTC,1839.5128095422053,220948326523.33356,3642424563.740612
2023-08-15 00:00:00 UTC,1843.5133910053466,221564238004.30878,4495324729.871393
2023-08-16 00:00:00 UTC,1826.9131281594616,219472776850.51178,4416612452.1140585
2023-08-17 00:00:00 UTC,1809.4604742643007,217444475880.3843,6472231164.689248
2023-08-18 00:00:00 UTC,1675.8621709457839,201482976932.07773,20962774898.104233
2023-08-19 00:00:00 UTC,1660.6791095302815,199322878932.42487,11856910739.734947
2023-08-20 00:00:00 UTC,1669.233454808334,200676423059.4708,8226872103.119698
2023-08-21 00:00:00 UTC,1682.461825140931,202267391138.31247,6156816706.795544
2023-08-22 00:00:00 UTC,1666.8404654985097,200439393151.86392,6712093708.842867
2023-08-23 00:00:00 UTC,1635.191294137295,196541301460.12344,10108448994.686905
2023-08-24 00:00:00 UTC,1679.123993491918,201763902449.85114,10823959050.709232
2023-08-25 00:00:00 UTC,1658.3996538851384,199312028651.97314,6850697254.402818
2023-08-26 00:00:00 UTC,1653.4293196573105,198709215180.56833,7030468153.067507
2023-08-27 00:00:00 UTC,1645.9049996794286,197789939427.44342,2322940231.9234123
2023-08-28 00:00:00 UTC,1656.9310584772875,199214693241.65775,2572900593.8254514
2023-08-29 00:00:00 UTC,1653.198566161456,198642500829.7732,4779399186.377881
2023-08-30 00:00:00 UTC,1730.1902578762465,207724452339.73706,15798207852.361956
2023-08-31 00:00:00 UTC,1705.1081032258105,205067943948.6809,7523425414.671642
2023-09-01 00:00:00 UTC,1645.1815254166893,197803774139.33786,11279510278.983656
2023-09-02 00:00:00 UTC,1630.6058904999302,196004320566.4386,9227778945.887491
2023-09-03 00:00:00 UTC,1636.1621989563407,196740112479.6953,3262521603.9087152
2023-09-04 00:00:00 UTC,1635.4030431134638,196612298871.42145,4542394704.482584
2023-09-05 00:00:00 UTC,1630.6275466678564,195725018396.24792,5906286578.073623
2023-09-06 00:00:00 UTC,1633.077003857269,196210323898.26404,6218544481.16628
2023-09-07 00:00:00 UTC,1632.9024163463462,196288430172.85562,7246472222.521928
2023-09-08 00:00:00 UTC,1646.3050827277937,197814700367.66592,6834398037.677842
2023-09-09 00:00:00 UTC,1636.354258593187,196733382406.69147,7077406725.09963
2023-09-10 00:00:00 UTC,1634.4459462937054,196524550291.2688,2588492462.723674
2023-09-11 00:00:00 UTC,1617.486179584741,194563248123.99646,6682429116.848482
2023-09-12 00:00:00 UTC,1549.8934231592937,186283839916.62595,12284774715.493246
2023-09-13 00:00:00 UTC,1594.9745013935253,191687080858.3302,11290460280.977287
2023-09-14 00:00:00 UTC,1607.736697039678,193243620018.56186,7824745808.137917
2023-09-15 00:00:00 UTC,1626.436340686946,195463813946.39197,8399894536.861646
2023-09-16 00:00:00 UTC,1641.9347582842215,197321595722.87198,6794504241.698757
2023-09-17 00:00:00 UTC,1634.4198849990876,196489101206.889,4301244951.269605
